,city,country,date,lat,lon,max_temp,temperature,humidity,cloudiness,wind speed
0,castro,BR,1582183000,-24.79,-50.01,65.98,65.98,97,95,1.03
1,busselton,AU,1582183001,-33.65,115.33,93.99,92.73,9,0,2.68
2,zyukayka,RU,1582183001,58.2,54.7,31.37,31.37,93,91,8.93
3,robore,BO,1582183001,-18.33,-59.75,76.57,76.57,83,95,1.7
4,rikitea,PF,1582183001,-23.12,-134.97,78.49,78.49,80,14,14.5
5,cape town,ZA,1582183001,-33.93,18.42,73.99,70.11,77,40,19.46
6,saint-joseph,RE,1582183002,-21.37,55.62,86.0,82.26,58,0,21.92
7,nome,US,1582183002,64.5,-165.41,5.0,3.87,77,90,12.75
8,salinas,US,1582183002,36.68,-121.66,51.01,46.65,87,90,1.48
9,chokurdakh,RU,1582183003,70.63,147.92,-10.03,-10.03,92,86,7.0
10,kaitangata,NZ,1582183003,-46.28,169.85,59.0,57.24,96,92,11.99
11,mikhaylovka,RU,1582183003,50.06,43.24,36.0,36.0,94,100,5.01
12,bluff,NZ,1582183003,-46.6,168.33,70.0,70.0,77,100,4.0
13,new norfolk,AU,1582183004,-42.78,147.06,64.4,60.48,39,40,17.22
14,atuona,PF,1582183004,-9.8,-139.03,81.16,81.16,80,16,19.35
15,itanhaem,BR,1582183004,-24.18,-46.79,71.6,71.6,88,20,4.7
16,cherskiy,RU,1582183005,68.75,161.3,-20.24,-20.24,97,99,4.99
17,makokou,GA,1582183005,0.57,12.86,71.26,71.26,94,68,1.81
18,haines junction,CA,1582183005,60.75,-137.51,17.46,17.46,94,89,13.65
19,christchurch,NZ,1582182900,-43.53,172.63,64.99,62.19,82,100,17.22
20,vaini,TO,1582183005,-21.2,-175.2,78.8,78.8,69,40,6.93
21,hobart,AU,1582182855,-42.88,147.33,64.4,60.8,39,40,17.22
22,antalaha,MG,1582183006,-14.9,50.28,81.75,81.75,74,37,6.8
23,ushuaia,AR,1582182918,-54.8,-68.3,46.4,46.4,87,75,24.16
24,jalu,LY,1582183006,29.03,21.55,52.36,52.36,73,0,6.49
25,northam,GB,1582183007,51.03,-4.22,50.0,48.67,93,75,14.99
26,jamestown,US,1582183007,42.1,-79.24,24.8,19.62,85,90,5.53
27,punta arenas,CL,1582183007,-53.15,-70.92,44.6,42.6,71,40,9.17
28,arraial do cabo,BR,1582183007,-22.97,-42.03,77.34,77.34,86,100,23.94
29,henties bay,NA,1582183007,-22.12,14.28,64.99,64.99,96,100,3.02
30,thompson,CA,1582183008,55.74,-97.86,1.4,1.4,64,5,8.05
31,itarema,BR,1582183008,-2.92,-39.92,74.44,74.44,93,100,3.67
32,sao francisco do sul,BR,1582183008,-26.24,-48.64,75.0,71.47,86,88,5.95
33,asosa,ET,1582183008,10.07,34.53,77.52,77.52,15,21,7.56
34,longyearbyen,SJ,1582183009,78.22,15.64,10.4,10.4,60,75,23.04
35,port hardy,CA,1582183009,50.7,-127.42,30.2,30.2,92,40,4.7
36,tuktoyaktuk,CA,1582183009,69.45,-133.04,5.0,5.0,77,90,18.34
37,coihaique,CL,1582183009,-45.58,-72.07,32.67,32.67,95,0,2.13
38,izhma,RU,1582183009,65.01,53.91,32.02,32.02,91,100,8.79
39,sitka,US,1582183010,57.05,-135.33,37.4,36.82,86,90,5.82
40,mataura,NZ,1582183010,-46.19,168.86,70.0,70.0,77,93,4.0
41,sabha,LY,1582183010,27.04,14.43,50.54,50.54,49,50,9.26
42,petropavlovsk-kamchatskiy,RU,1582183010,53.05,158.65,19.4,19.4,31,0,4.47
43,port lincoln,AU,1582183010,-34.73,135.87,64.44,64.44,57,98,11.54
44,ndele,CF,1582183011,8.41,20.65,76.1,76.1,25,51,6.73
45,smithers,CA,1582183011,54.78,-127.17,24.8,24.8,79,90,3.36
46,fortuna,US,1582183011,40.6,-124.16,41.0,40.05,100,40,3.51
47,albany,US,1582182723,42.6,-73.97,26.6,20.97,72,90,4.7
48,port elizabeth,ZA,1582183011,-33.92,25.57,80.6,80.6,61,35,28.86
49,oranjemund,NA,1582183012,-28.55,16.43,66.4,66.4,89,97,10.11
50,adrar,MR,1582183012,20.5,-10.07,65.59,65.59,15,0,12.12
51,khatanga,RU,1582183012,71.97,102.5,-7.37,-7.37,85,6,4.81
52,iqaluit,CA,1582182734,63.75,-68.51,-31.0,-31.0,59,40,9.17
53,coari,BR,1582183013,-4.08,-63.14,74.73,74.73,97,100,0.56
54,bima,ID,1582183013,-8.47,118.72,76.39,76.39,92,100,2.01
55,ribeira grande,PT,1582183013,38.52,-28.7,51.8,51.8,57,20,11.41
56,barrow,US,1582183007,71.29,-156.79,-2.2,-2.2,77,90,9.17
57,registro,BR,1582183014,-24.49,-47.84,73.35,73.35,98,93,1.16
58,mayo,US,1582183014,38.89,-76.51,37.99,32.02,45,1,8.48
59,hermanus,ZA,1582183014,-34.42,19.23,73.99,70.16,99,85,1.01
60,khromtau,KZ,1582183014,50.25,58.43,22.1,22.1,87,49,9.57
61,hithadhoo,MV,1582183014,-0.6,73.08,82.92,82.92,78,28,16.15
62,ponta do sol,PT,1582183015,32.67,-17.1,60.8,55.74,59,40,8.05
63,san rafael del sur,NI,1582183015,11.85,-86.44,80.6,80.6,69,20,16.11
64,port alfred,ZA,1582183015,-33.59,26.89,87.01,87.01,67,37,1.99
65,lagunas,PE,1582183015,-5.23,-75.68,73.92,73.92,92,78,2.17
66,calama,CL,1582183016,-22.47,-68.93,55.4,55.4,54,64,9.17
67,waw,SS,1582183016,7.7,28.0,77.99,77.99,19,59,7.81
68,kyzyl-suu,KG,1582183016,42.34,78.0,27.03,27.03,62,0,5.5
69,hasaki,JP,1582182791,35.73,140.83,54.0,52.7,71,75,9.17
70,tasiilaq,GL,1582183016,65.61,-37.64,21.2,21.2,79,83,6.13
71,hilo,US,1582183017,19.73,-155.09,73.4,68.58,69,75,4.7
72,saldanha,ZA,1582183017,-33.01,17.94,68.0,68.0,91,90,11.41
73,tazovskiy,RU,1582183017,67.47,78.7,20.64,20.64,94,100,7.23
74,beyneu,KZ,1582183017,45.32,55.2,37.65,37.65,43,100,14.41
75,paramonga,PE,1582183017,-10.67,-77.83,71.04,71.04,89,100,7.74
76,victoria,HK,1582182900,22.29,114.16,77.0,70.16,56,0,11.41
77,nanortalik,GL,1582183018,60.14,-45.24,19.04,19.04,51,100,7.74
78,saskylakh,RU,1582183018,71.92,114.08,-10.61,-10.61,93,0,2.19
79,qaanaaq,GL,1582183018,77.48,-69.36,-13.29,-13.29,53,0,3.89
80,padang,ID,1582183019,-0.95,100.35,85.73,85.73,52,21,5.03
81,porbandar,IN,1582183019,21.64,69.61,76.19,76.19,66,0,8.59
82,aljezur,PT,1582183019,37.32,-8.8,54.0,52.57,78,0,4.38
83,burnie,AU,1582183019,-41.07,145.92,64.99,62.42,53,1,20.0
84,bulgan,MN,1582183020,48.81,103.53,15.37,15.37,79,69,8.48
85,dunedin,NZ,1582183020,-45.87,170.5,59.0,59.0,87,97,3.0
86,haikou,CN,1582183020,20.05,110.34,80.6,80.6,51,20,17.9
87,doha,QA,1582183020,25.29,51.53,84.99,77.83,47,87,10.29
88,tuatapere,NZ,1582183020,-46.13,167.68,70.0,70.0,77,100,4.0
89,la ronge,CA,1582183021,55.1,-105.28,5.0,5.0,77,5,5.82
90,bredasdorp,ZA,1582183021,-34.53,20.04,69.8,68.72,83,75,5.82
91,bengkulu,ID,1582182930,-3.8,102.27,92.53,92.53,47,3,0.27
92,kodiak,US,1582183021,57.79,-152.41,37.4,37.4,86,90,10.29
93,lodja,CD,1582183021,-3.48,23.43,68.99,68.99,99,100,3.38
94,hayvoron,UA,1582183022,48.34,29.87,35.22,35.22,78,62,3.31
95,dingle,PH,1582183022,11.0,122.67,78.17,78.17,79,97,18.9
96,guerrero negro,MX,1582183022,27.98,-114.06,59.07,59.07,86,0,8.12
97,marrakesh,MA,1582183023,31.63,-8.01,51.8,51.8,87,40,6.93
98,goderich,CA,1582183023,43.75,-81.72,23.0,19.8,74,84,8.99
99,katsuura,JP,1582183023,35.13,140.3,55.99,54.18,58,75,3.36
100,yellowknife,CA,1582183023,62.46,-114.35,15.8,15.03,85,75,5.82
101,cidreira,BR,1582183024,-30.18,-50.21,74.7,74.7,81,22,10.98
102,taloqan,AF,1582183024,36.74,69.53,40.57,40.57,44,28,3.78
103,fort nelson,CA,1582182793,58.81,-122.7,10.4,10.4,85,40,5.82
104,upernavik,GL,1582183024,72.79,-56.15,0.77,0.77,94,100,5.1
105,pokhara,NP,1582182897,28.23,83.98,77.02,77.02,37,96,3.51
106,seymchan,RU,1582183025,62.88,152.43,-19.62,-19.62,100,100,2.53
107,zhigansk,RU,1582183025,66.77,123.37,-7.6,-7.6,96,100,22.39
108,san patricio,MX,1582183025,19.22,-104.7,75.9,75.9,78,0,2.53
109,avarua,CK,1582183025,-21.21,-159.78,80.6,80.6,88,100,4.7
110,sibenik,HR,1582183026,43.73,15.91,48.2,48.13,34,18,10.29
111,east london,ZA,1582182743,-33.02,27.91,82.4,82.4,69,71,5.82
112,clyde river,CA,1582183026,70.47,-68.59,-11.2,-11.2,83,90,13.87
113,tonshayevo,RU,1582183026,57.74,47.01,31.84,31.84,94,97,9.73
114,tura,IN,1582183027,25.52,90.22,85.53,85.53,24,100,3.78
115,bethel,US,1582183027,41.37,-73.41,32.0,27.0,46,1,3.36
116,laguna,US,1582183027,38.42,-121.42,51.01,45.95,70,1,2.1
117,puerto ayora,EC,1582183027,-0.74,-90.35,77.56,77.56,89,42,8.34
